Standort,Latitude,Longitude,tavg,tmin,tmax,prcp,snow,wspd,wpgt,ndvi,estimated_yield,requested_yield,remaining_volume,price,expiry_date,diff,recommendations
1242 Satigny,46.2138696,6.0399764,11.070697335949363,6.950110218374996,15.306384516276545,2.2745416874637336,0.0758542895585338,9.917366299561063,31.873583016865847,0.3035038927320224,8709.900504234509,7719.344507566808,437,60.63,2025-10-29,0.1283212578084471,
1254 Jussy,46.2320439,6.272693,10.26016966600985,6.441906783218356,14.185933648904651,2.454031745549631,0.0758542895585338,10.891765195012802,33.850782917756355,0.2850713406323292,9538.87383070336,8148.26726842821,84,18.97,2025-10-29,0.1706628558519775,
1784 Courtepin,46.8655678,7.122968099999999,10.552667580388087,6.592008885368135,14.816210780358787,4.978091373448932,0.2672176308539944,7.929987221814752,27.37771789662797,0.2661067457675767,6579.775899871375,8025.537973148033,379,49.04,2025-10-26,-0.1801451912773836,"{""recommendations"": [{""supplier"": ""4917 Melchnau"", ""reasoning"": ""Supplier has the soonest expiry date and a positive diff, reducing food waste and ensuring surplus.""}, {""supplier"": ""5074 Eiken"", ""reasoning"": ""Supplier has a reasonable price, positive diff, and close proximity, reducing food waste and ensuring surplus.""}, {""supplier"": ""5610 Wohlen"", ""reasoning"": ""Supplier has a positive diff, reducing food waste and ensuring surplus.""}]}"
3076 Worb,46.9302365,7.5662725,9.841753279320685,6.042694704455156,14.073994257084648,3.980400070520424,0.25,8.004149733728497,27.063786321987376,0.3017506042259827,7361.285833667545,8418.927516836095,63,62.5,2025-10-16,-0.1256266526886574,"{""recommendations"": [{""supplier"": ""5074 Eiken"", ""reasoning"": ""This supplier has the soonest expiry date and a lower price compared to the current farmer, reducing food waste and cost.""}, {""supplier"": ""5610 Wohlen"", ""reasoning"": ""Although not the cheapest, this supplier has a positive diff and is close by, reducing food waste and ensuring a surplus.""}, {""supplier"": ""4242 Laufen"", ""reasoning"": ""With a good price, positive diff, and close proximity, this supplier is a suitable choice to minimize waste and ensure surplus.""}]}"
3177 Laupen,46.906378100000005,7.2400154,10.552667580388087,6.592008885368135,14.816210780358787,4.978091373448932,0.2672176308539944,7.929987221814753,27.37771789662797,0.2893695855827622,7070.486116436186,8265.09797569281,218,89.54,2025-10-31,-0.1445369265760563,"{""recommendations"": [{""supplier"": ""4242 Laufen"", ""reasoning"": ""Supplier has the soonest expiry date and a positive diff, reducing food waste and ensuring surplus.""}, {""supplier"": ""5610 Wohlen"", ""reasoning"": ""Supplier has a positive diff and is in a close region, reducing food waste and ensuring surplus.""}, {""supplier"": ""5074 Eiken"", ""reasoning"": ""Supplier has a soon expiry date and a reasonable price, reducing food waste.""}]}"
3186 Düdingen,46.849259,7.1879193,10.552667580388087,6.592008885368135,14.816210780358787,4.978091373448932,0.2672176308539944,7.929987221814752,27.37771789662797,0.2574704263117502,6408.073656475009,7772.623696198149,288,21.96,2025-10-22,-0.1755584848898047,"{""recommendations"": [{""supplier"": ""4242 Laufen"", ""reasoning"": ""Closest expiry date to current farmer, good chance of surplus, and lower price compared to others.""}, {""supplier"": ""5074 Eiken"", ""reasoning"": ""Second closest expiry date, reasonable price, and positive surplus prediction.""}, {""supplier"": ""5610 Wohlen"", ""reasoning"": ""Third closest expiry date, good chance of surplus, and slightly higher price but still reasonable.""}]}"
3210 Kerzers,46.97290280000001,7.1928124,10.23081348657302,6.331609469138492,14.421742519668706,4.978091373448932,0.2672176308539944,9.715267064934183,30.1257859209378,0.2411671809182413,5824.757879401912,7167.876552625827,295,38.32,2025-11-02,-0.1873802741108713,"{""recommendations"": [{""supplier"": ""4917 Melchnau"", ""reasoning"": ""Closest expiry date among surplus-predicted suppliers with reasonable price.""}, {""supplier"": ""5074 Eiken"", ""reasoning"": ""Second closest expiry date among surplus-predicted suppliers with reasonable price.""}, {""supplier"": ""4242 Laufen"", ""reasoning"": ""Third closest expiry date among surplus-predicted suppliers with reasonable price.""}]}"
3292 Busswil b. Büren,47.0993634,7.3221402,10.196691432677277,6.3481766900442365,14.447791287672688,7.447920419478573,0.25,9.710487605584726,29.59953008315805,0.2823118259974413,6601.396833730964,8467.591839995277,454,12.7,2025-10-19,-0.2203926501806154,"{""recommendations"": [{""supplier"": ""4242 Laufen"", ""reasoning"": ""Close by, lower price, positive diff, and early expiry date to reduce food waste.""}, {""supplier"": ""5074 Eiken"", ""reasoning"": ""Reasonable price, positive diff, and early expiry date to reduce food waste.""}, {""supplier"": ""5610 Wohlen"", ""reasoning"": ""Reasonable price, positive diff, and early expiry date to reduce food waste.""}]}"
3315 Bätterkinden,47.1349774,7.536476400000001,10.025551162218656,6.093019800442433,14.428937034840072,3.980400070520424,0.25,7.502363139208445,26.053270873515206,0.2985413602220682,7099.458954749787,8649.628487360147,175,56.65,2025-11-01,-0.1792180479052539,"{""recommendations"": [{""supplier"": ""5074 Eiken"", ""reasoning"": ""Closest expiry date, lower price, and predicted surplus increase likelihood of reduced food waste.""}, {""supplier"": ""5610 Wohlen"", ""reasoning"": ""Second closest expiry date, reasonable price, and predicted surplus increase likelihood of reduced food waste.""}, {""supplier"": ""4242 Laufen"", ""reasoning"": ""Reasonable price, predicted surplus, and close region make this supplier a good choice to reduce food waste.""}]}"
3360 Herzogenbuchsee,47.1894169,7.7063292,10.131795321845216,6.395938574268065,14.310900777523344,3.7950369071047807,0.25,7.633985585839483,26.48080877171469,0.2250750588470124,5603.710101718008,6407.7981167397365,368,62.75,2025-10-09,-0.1254858533887214,"{""recommendations"": [{""supplier"": ""5074 Eiken"", ""reasoning"": ""Supplier has the soonest expiry date, reducing the risk of food waste.""}, {""supplier"": ""5610 Wohlen"", ""reasoning"": ""Close region and predicted surplus increase the likelihood of availability.""}, {""supplier"": ""4242 Laufen"", ""reasoning"": ""Reasonable price, close region, and predicted surplus make this a good choice.""}]}"
