Standort,Latitude,Longitude,tavg,tmin,tmax,prcp,snow,wspd,wpgt,ndvi,estimated_yield,requested_yield,remaining_volume,price,expiry_date,diff,recommendations
1242 Satigny,46.2138696,6.0399764,11.070697335949363,6.950110218374996,15.306384516276545,2.2745416874637336,0.0758542895585338,9.917366299561063,31.873583016865847,0.3035038927320224,377.6939297903607,353.13261101429663,358,50.66,2025-10-27,0.069552677974195,
1254 Jussy,46.2320439,6.272693,10.26016966600985,6.441906783218356,14.185933648904651,2.454031745549631,0.0758542895585338,10.891765195012802,33.850782917756355,0.2850713406323292,366.064624894953,372.75430484049826,461,19.91,2025-10-19,-0.0179466202232266,"{""recommendations"": [{""supplier"": ""4917 Melchnau"", ""reasoning"": ""Closest expiry date, low price, and predicted surplus.""}, {""supplier"": ""4950 Huttwil"", ""reasoning"": ""Second closest expiry date, reasonable price, and predicted surplus.""}, {""supplier"": ""3076 Worb"", ""reasoning"": ""Third closest expiry date, good price, and predicted surplus.""}]}"
1784 Courtepin,46.8655678,7.122968099999999,10.552667580388087,6.592008885368135,14.816210780358787,4.978091373448932,0.2672176308539944,7.929987221814752,27.37771789662797,0.2661067457675767,337.01144961235866,367.1398752153209,73,38.47,2025-10-29,-0.0820625261292919,"{""recommendations"": [{""supplier"": ""4917 Melchnau"", ""reasoning"": ""Closest expiry date, good chance of surplus, and lower price compared to current farmer.""}, {""supplier"": ""4950 Huttwil"", ""reasoning"": ""Second closest expiry date, good chance of surplus, and slightly higher price compared to Melchnau.""}, {""supplier"": ""3076 Worb"", ""reasoning"": ""Third closest expiry date, good chance of surplus, and slightly higher price compared to Melchnau.""}]}"
2900 Porrentruy,47.382472,7.0985409,9.877427438370164,5.840499345422437,14.140944883577513,2.1435949943268136,2.467948717948718,11.48283790225279,34.55640308428423,0.3752347006697545,489.0201684753459,489.43879730537896,400,55.04,2025-10-11,-0.0008553241637929,"{""recommendations"": [{""supplier"": ""4917 Melchnau"", ""reasoning"": ""Closest expiry date, positive diff, close region""}, {""supplier"": ""3076 Worb"", ""reasoning"": ""Second closest expiry date, positive diff, close region""}, {""supplier"": ""1242 Satigny"", ""reasoning"": ""Third closest expiry date, positive diff, close region""}]}"
3076 Worb,46.9302365,7.5662725,9.841753279320685,6.042694704455156,14.073994257084648,3.7204522729013454,0.25,8.004149733728497,27.063786321987376,0.3017506042259827,397.674293057351,385.13605048280823,277,44.53,2025-10-13,0.0325553594861472,
3210 Kerzers,46.97290280000001,7.1928124,10.23081348657302,6.331609469138492,14.421742519668706,4.978091373448932,0.2672176308539944,9.715267064934183,30.1257859209378,0.2411671809182413,312.2904017553519,327.90490953936825,274,82.95,2025-10-10,-0.0476190118835096,"{""recommendations"": [{""supplier"": ""4917 Melchnau"", ""reasoning"": ""Closest expiry date, good price, and predicted surplus for reducing food waste.""}, {""supplier"": ""4950 Huttwil"", ""reasoning"": ""Second closest expiry date, slightly higher price but predicted surplus for reducing food waste.""}, {""supplier"": ""3076 Worb"", ""reasoning"": ""Third closest expiry date, reasonable price, and predicted surplus for reducing food waste.""}]}"
3254 Messen,47.0990718,7.4358168,10.095572636757575,6.174519204947601,14.44391854363703,3.7204522729013454,0.25,9.374389824348912,28.710644167300103,0.3373346216518924,445.3823529632568,452.88521992805346,213,56.51,2025-10-10,-0.0165668178925967,"{""recommendations"": [{""supplier"": ""4917 Melchnau"", ""reasoning"": ""Closest expiry date, high chance of surplus, and significantly lower price compared to current farmer.""}, {""supplier"": ""3076 Worb"", ""reasoning"": ""Second closest expiry date, good chance of surplus, and lower price compared to current farmer.""}, {""supplier"": ""4950 Huttwil"", ""reasoning"": ""Third closest expiry date, good chance of surplus, and lower price compared to current farmer.""}]}"
3292 Busswil b. Büren,47.0993634,7.3221402,10.196691432677277,6.3481766900442365,14.447791287672688,7.458890742322825,0.25,9.710487605584726,29.59953008315805,0.2823118259974413,372.0517819300657,387.36227053084474,182,85.22,2025-10-25,-0.0395249867257267,"{""recommendations"": [{""supplier"": ""3254 Messen"", ""reasoning"": ""Supplier has the nearest expiry date and a slightly lower price, reducing potential food waste.""}, {""supplier"": ""2900 Porrentruy"", ""reasoning"": ""Supplier has a close location and a low price, reducing potential food waste.""}, {""supplier"": ""4950 Huttwil"", ""reasoning"": ""Supplier has a positive diff and a reasonable price, indicating a surplus and reducing potential food waste.""}]}"
3415 Hasle-Rüegsau,47.0160899,7.656543500000001,9.908026048340112,5.942649957859419,14.346113131934578,3.7204522729013454,0.25,7.405293621392278,25.7313464577782,0.2602233561882994,339.4461179055656,321.65791472599153,489,28.35,2025-11-03,0.055301618163903,
3661 Uetendorf,46.7740609,7.5796278,9.873433637302403,6.09225424162848,14.115234236151418,3.8567070189163655,0.25,7.036265844526515,25.333466140271145,0.2377634016382372,311.9172894809149,294.92206812373735,120,91.16,2025-10-28,0.0576261432903253,
