Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,756,Switzerland,5312,Area harvested,1341,Apples,2018,2018,ha,3786,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5412,Yield,1341,Apples,2018,2018,kg/ha,78388.3,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5510,Production,1341,Apples,2018,2018,t,296778,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5312,Area harvested,1341,Apples,2019,2019,ha,3733,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5412,Yield,1341,Apples,2019,2019,kg/ha,52564.4,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5510,Production,1341,Apples,2019,2019,t,196223,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5312,Area harvested,1341,Apples,2020,2020,ha,3673,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5412,Yield,1341,Apples,2020,2020,kg/ha,64588.1,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5510,Production,1341,Apples,2020,2020,t,237232,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5312,Area harvested,1341,Apples,2021,2021,ha,3675,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5412,Yield,1341,Apples,2021,2021,kg/ha,48047.3,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5510,Production,1341,Apples,2021,2021,t,176573.97,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5312,Area harvested,1341,Apples,2022,2022,ha,3687,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5412,Yield,1341,Apples,2022,2022,kg/ha,52941.6,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5510,Production,1341,Apples,2022,2022,t,195195.79,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5312,Area harvested,1341,Apples,2023,2023,ha,3648,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5412,Yield,1341,Apples,2023,2023,kg/ha,46943.5,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5510,Production,1341,Apples,2023,2023,t,171249.88,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5312,Area harvested,1343,Apricots,2018,2018,ha,739,A,Official figure,
QCL,Crops and livestock products,756,Switzerland,5412,Yield,1343,Apricots,2018,2018,kg/ha,12710.4,A,Official figure,
