Standort,Latitude,Longitude,tavg,tmin,tmax,prcp,snow,wspd,wpgt,ndvi,estimated_yield,requested_yield
1350 Orbe,46.7249527,6.532811699999999,9.618633007744863,5.986138587261918,13.32331868517884,5.397613378281553,0.2706611570247934,8.995762149260614,29.6605567098836,0.280435861018725,1744.4064964847923,1691.8930601172922
1580 Avenches,46.8800784,7.0403621,9.562140680610373,5.793572647421081,13.496407662929869,5.397613378281553,0.2706611570247934,10.226376148548429,31.16313132750789,0.2715679187902122,1688.803368389317,1778.798529243484
1784 Courtepin,46.8655678,7.1229681,10.444428493725976,6.48223531997601,14.717162525471643,5.357545264577075,0.2706611570247934,7.778023022342086,26.78376984733865,0.2629170636808493,1645.6723350116704,1723.5457980890428
2053 Cernier,47.0598115,6.901407799999999,9.460221922070868,5.728176685285414,13.354111604842307,5.397613378281553,0.2706611570247934,9.908462124485188,30.794588563224828,0.2419829687841478,1506.0794148390885,1662.077958812914
2800 Delémont,47.3643065,7.3454865,10.538009598682418,6.534693356223201,14.906386319949007,2.189464957745171,1.7942655546243107,10.23506545571171,30.810673743293243,0.1819396689702466,1138.4418769140511,1193.2234237307302
2900 Porrentruy,47.382472,7.098540900000001,9.770276700777837,5.731235439773286,14.032719857248876,2.08221251734363,2.911538461538462,11.251527248304566,33.95200333584427,0.3750793837108523,2285.4061596847523,2297.680637448335
3076 Worb,46.9302365,7.566272499999999,9.749479277650575,5.947299398770844,13.994458861926232,3.898924777437336,0.25,7.8196700914331005,26.48217524544117,0.3029245820200124,1881.8051929785524,1808.029218054691
3177 Laupen,46.9063781,7.2400154,10.444428493725976,6.4822353199760085,14.717162525471643,5.357545264577075,0.2706611570247934,7.778023022342087,26.78376984733865,0.2891486183849626,1805.4750595953976,1774.9931449407695
3210 Kerzers,46.9729028,7.192812399999999,10.129041937312284,6.2284628698155045,14.329006092095597,5.357545264577075,0.2706611570247934,9.541734176551156,29.52320490116798,0.2390180372064047,1496.4328406105606,1539.3564337785162
3315 Bätterkinden,47.1349774,7.5364764,9.929116189182931,5.993640198887084,14.346965537698498,3.898924777437336,0.25,7.335816588967942,25.510141182160407,0.297451905752757,1851.4486056092355,1857.5740198726091
3360 Herzogenbuchsee,47.1894169,7.706329200000001,10.040784523200562,6.30443039871072,14.235859015219791,3.7518200546170575,0.25,7.466607360541626,25.945912991811053,0.225050037044337,1408.4729115460823,1376.1237634238707
4242 Laufen,47.4199521,7.5006735,11.11583436187011,6.839405685872952,15.854847494438207,2.336936195090052,1.7942655546243107,7.8157879753679325,27.23258821951965,0.2196025973174566,1362.1920481257348,1291.994805940927
4460 Gelterkinden,47.4642264,7.8555368,11.161916997804,7.067226552762408,15.75437593560796,2.456617718656668,1.2356291011672356,6.942128567958688,25.136274610388163,0.2433808654831005,1523.0184718727303,1521.2417987909917
4538 Oberbipp,47.259886,7.662658300000001,10.87300268832356,6.741134060193078,15.451452693051028,2.310708012076752,1.2356291011672356,6.84177001328405,24.936098650839664,0.2480022481084469,1554.4641256598202,1499.8826405395077
4917 Melchnau,47.1814972,7.8487757,10.01759533046057,6.2246883734165,14.267310589069924,3.7518200546170575,0.25,7.472639124132772,26.17030385708471,0.3194529993019982,1978.513585753995,1815.8682113403772
4950 Huttwil,47.112213,7.849174100000001,9.16488310788404,5.559370935955885,13.209580784885524,3.767783187784048,0.25,8.197698978275119,27.69860724315497,0.2729376138132376,1681.6887995132695,1600.0495653764594
5610 Wohlen,47.3501938,8.2790485,10.745801246184492,6.876578030535365,15.060018626124258,2.6563083528950897,0.3048877218965047,7.022855014833162,25.765337740214044,0.2128817598804352,1328.3045040166958,1242.85469582109
8155 Niederhasli,47.4791424,8.4872639,10.61882614986069,6.499802549288302,15.149870185882303,2.6858275133428218,2.406895096664437,7.877141749481126,27.454217176919705,0.2272615893164667,1407.945362390968,1370.591499589718
8560 Märstetten,47.5877643,9.0655244,10.3365525189916,6.556058663943004,14.50729209643014,2.2897783605107653,3.815956892253378,9.17938407414062,27.95933370496214,0.2698733114693508,1701.120109887952,1609.6558467749887
9494 Schaan (FL),47.1667928,9.5112894,9.524158365661936,5.879481728469103,13.545511313089738,5.013061347551286,196.5941879366332,8.0376890306818,30.06037985233917,0.2467592957764332,1531.6781395076268,1344.5649483136824
